Year,Location,Site,Percent_Cover
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,LTER 1,16.666666666666668
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,LTER 1,9.925
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,LTER 1,13.266666666666666
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,LTER 1,39.25
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,LTER 1,30.900000000000002
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 1,25.6
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,LTER 1,25.450000000000003
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,LTER 1,13.266666666666666
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 1,11.4
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 1,15.0
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,LTER 1,20.966666666666665
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,LTER 1,14.700000000000001
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,6.55
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,LTER 1,8.066666666666668
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,LTER 1,13.166666666666666
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,LTER 1,21.900000000000002
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,LTER 1,15.033333333333333
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,LTER 1,16.366666666666664
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,LTER 1,19.166666666666668
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,LTER 1,16.166666666666668
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,LTER 1,8.533333333333333
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,LTER 1,30.4
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,LTER 1,8.424999999999999
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,LTER 1,12.766666666666666
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,LTER 1,6.5
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,LTER 1,12.299999999999999
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,LTER 1,20.26666666666667
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,LTER 1,22.3
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 1,LTER 1,7.375
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 2,LTER 1,6.949999999999999
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 3,LTER 1,18.45
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 4,LTER 1,12.275
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 5,LTER 1,10.0
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 6,LTER 1,9.875
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 7,LTER 1,8.233333333333334
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 8,LTER 1,25.03333333333333
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 1,LTER 1,10.566666666666666
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 2,LTER 1,19.933333333333334
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 3,LTER 1,19.400000000000002
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 4,LTER 1,8.299999999999999
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 5,LTER 1,23.5
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 6,LTER 1,5.433333333333334
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 7,LTER 1,6.575
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 8,LTER 1,12.366666666666667
2005,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 1,LTER 1,22.333333333333332
2005,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 2,LTER 1,25.799999999999997
2005,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 3,LTER 1,20.466666666666665
2005,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 4,LTER 1,9.8
2005,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 5,LTER 1,12.650000000000002
2005,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,14.066666666666668
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 1,LTER 1,9.1
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 2,LTER 1,10.799999999999999
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 3,LTER 1,10.4
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 4,LTER 1,17.8
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 5,LTER 1,16.15
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 6,LTER 1,12.95
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 7,LTER 1,5.4799999999999995
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 8,LTER 1,17.03333333333333
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 1,LTER 1,10.425
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 2,LTER 1,10.725
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 4,LTER 1,6.6499999999999995
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 5,LTER 1,9.575000000000001
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 6,LTER 1,7.733333333333334
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 7,LTER 1,12.533333333333333
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 8,LTER 1,17.366666666666664
2005,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 1,LTER 2,97.4
2005,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 2,LTER 2,99.4
2005,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 3,LTER 2,71.9
2005,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 4,LTER 2,61.6
2005,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 5,LTER 2,31.2
2005,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 6,LTER 2,76.3
2005,LTER 2 Fringing Reef Coral Transect Pole 1-2 Quadrat 7,LTER 2,94.9
2005,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 1,LTER 2,54.8
2005,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 2,LTER 2,87.4
2005,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 3,LTER 2,97.3
2005,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 4,LTER 2,99.3
2005,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 5,LTER 2,84.5
2005,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 6,LTER 2,57.4
2005,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 7,LTER 2,13.0
2005,LTER 2 Fringing Reef Coral Transect Pole 2-3 Quadrat 8,LTER 2,2.6
2005,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 1,LTER 2,24.55
2005,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 2,LTER 2,34.55
2005,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 3,LTER 2,5.050000000000001
2005,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 4,LTER 2,9.3
2005,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 5,LTER 2,4.45
2005,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 6,LTER 2,27.0
2005,LTER 2 Fringing Reef Coral Transect Pole 3-4 Quadrat 8,LTER 2,0.6
2005,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 1,LTER 2,2.6
2005,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 2,LTER 2,5.949999999999999
2005,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 3,LTER 2,7.6
2005,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 4,LTER 2,72.0
2005,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 5,LTER 2,0.7
2005,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 6,LTER 2,7.45
2005,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 7,LTER 2,2.25
2005,LTER 2 Fringing Reef Coral Transect Pole 4-5 Quadrat 8,LTER 2,100.0
2005,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 1,LTER 2,98.6
2005,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 2,LTER 2,29.2
2005,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 3,LTER 2,6.333333333333333
2005,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 4,LTER 2,28.3
2005,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 5,LTER 2,43.0
2005,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 6,LTER 2,2.3000000000000003
2005,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 7,LTER 2,10.9
2005,LTER 2 Fringing Reef Coral Transect Pole 5-6 Quadrat 8,LTER 2,5.1
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,LTER 2,17.366666666666664
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,LTER 2,14.933333333333332
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,LTER 2,6.333333333333333
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 2,23.75
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,LTER 2,12.533333333333333
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,LTER 2,21.566666666666666
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,LTER 2,13.233333333333333
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,LTER 2,10.049999999999999
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,LTER 2,5.725
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,LTER 2,13.833333333333334
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,LTER 2,14.6
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,LTER 2,8.950000000000001
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,LTER 2,14.2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 2,13.95
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,LTER 2,25.7
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,LTER 2,9.299999999999999
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,LTER 2,16.866666666666667
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 2,10.233333333333333
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 2,8.799999999999999
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,LTER 2,11.866666666666667
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,LTER 2,7.633333333333333
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 2,6.833333333333333
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 7,LTER 2,19.3
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 8,LTER 2,13.05
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,LTER 2,8.5
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,LTER 2,9.200000000000001
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,LTER 2,8.933333333333334
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,LTER 2,10.1
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,LTER 2,7.933333333333334
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,LTER 2,12.05
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,LTER 2,4.3
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,LTER 2,5.6
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,LTER 2,7.7
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,LTER 2,10.600000000000001
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,LTER 2,4.875
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,LTER 2,10.3
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,LTER 2,11.7
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,LTER 2,14.5
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,LTER 2,4.6
2005,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 1,LTER 2,14.7
2005,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 2,LTER 2,18.066666666666666
2005,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 3,LTER 2,12.833333333333334
2005,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 4,LTER 2,9.25
2005,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 5,LTER 2,26.066666666666666
2005,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 6,LTER 2,21.3
2005,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 7,LTER 2,21.433333333333334
2005,LTER 2 Outer 17 m Coral Transect Pole 1-2 Quadrat 8,LTER 2,14.200000000000001
2005,LTER 2 Outer 17 m Coral Transect Pole 2-3 Quadrat 1,LTER 2,37.35
2005,LTER 2 Outer 17 m Coral Transect Pole 2-3 Quadrat 2,LTER 2,23.166666666666668
2005,LTER 2 Outer 17 m Coral Transect Pole 2-3 Quadrat 3,LTER 2,12.4
2005,LTER 2 Outer 17 m Coral Transect Pole 2-3 Quadrat 4,LTER 2,15.299999999999999
2005,LTER 2 Outer 17 m Coral Transect Pole 2-3 Quadrat 5,LTER 2,4.75
2005,LTER 2 Outer 17 m Coral Transect Pole 2-3 Quadrat 6,LTER 2,9.625
2005,LTER 2 Outer 17 m Coral Transect Pole 2-3 Quadrat 7,LTER 2,9.733333333333334
2005,LTER 2 Outer 17 m Coral Transect Pole 2-3 Quadrat 8,LTER 2,10.733333333333334
2005,LTER 2 Outer 17 m Coral Transect Pole 3-4 Quadrat 1,LTER 2,9.333333333333334
2005,LTER 2 Outer 17 m Coral Transect Pole 3-4 Quadrat 2,LTER 2,8.733333333333333
2005,LTER 2 Outer 17 m Coral Transect Pole 3-4 Quadrat 3,LTER 2,6.300000000000001
2005,LTER 2 Outer 17 m Coral Transect Pole 3-4 Quadrat 4,LTER 2,23.8
2005,LTER 2 Outer 17 m Coral Transect Pole 3-4 Quadrat 5,LTER 2,9.700000000000001
2005,LTER 2 Outer 17 m Coral Transect Pole 3-4 Quadrat 6,LTER 2,16.066666666666666
2005,LTER 2 Outer 17 m Coral Transect Pole 3-4 Quadrat 7,LTER 2,16.6
2005,LTER 2 Outer 17 m Coral Transect Pole 4-5 Quadrat 1,LTER 2,12.1
2005,LTER 2 Outer 17 m Coral Transect Pole 4-5 Quadrat 2,LTER 2,16.266666666666666
2005,LTER 2 Outer 17 m Coral Transect Pole 4-5 Quadrat 3,LTER 2,10.833333333333334
2005,LTER 2 Outer 17 m Coral Transect Pole 4-5 Quadrat 4,LTER 2,25.633333333333336
2005,LTER 2 Outer 17 m Coral Transect Pole 4-5 Quadrat 5,LTER 2,19.400000000000002
2005,LTER 2 Outer 17 m Coral Transect Pole 4-5 Quadrat 6,LTER 2,5.15
2005,LTER 2 Outer 17 m Coral Transect Pole 4-5 Quadrat 7,LTER 2,11.05
2005,LTER 2 Outer 17 m Coral Transect Pole 4-5 Quadrat 8,LTER 2,8.120000000000001
2005,LTER 2 Outer 17 m Coral Transect Pole 5-6 Quadrat 1,LTER 2,19.366666666666667
2005,LTER 2 Outer 17 m Coral Transect Pole 5-6 Quadrat 2,LTER 2,24.099999999999998
2005,LTER 2 Outer 17 m Coral Transect Pole 5-6 Quadrat 3,LTER 2,19.466666666666665
2005,LTER 2 Outer 17 m Coral Transect Pole 5-6 Quadrat 4,LTER 2,9.266666666666666
2005,LTER 2 Outer 17 m Coral Transect Pole 5-6 Quadrat 5,LTER 2,64.8
2005,LTER 2 Outer 17 m Coral Transect Pole 5-6 Quadrat 6,LTER 2,9.95
2005,LTER 2 Outer 17 m Coral Transect Pole 5-6 Quadrat 7,LTER 2,7.375
2005,LTER 2 Outer 17 m Coral Transect Pole 5-6 Quadrat 8,LTER 2,16.766666666666666
2005,LTER 3 Fringing Reef Coral Transect Pole 1-2 Quadrat 1,LTER 3,16.3
2005,LTER 3 Fringing Reef Coral Transect Pole 1-2 Quadrat 2,LTER 3,6.15
2005,LTER 3 Fringing Reef Coral Transect Pole 1-2 Quadrat 4,LTER 3,1.2
2005,LTER 3 Fringing Reef Coral Transect Pole 1-2 Quadrat 5,LTER 3,9.1
2005,LTER 3 Fringing Reef Coral Transect Pole 1-2 Quadrat 6,LTER 3,8.9
2005,LTER 3 Fringing Reef Coral Transect Pole 1-2 Quadrat 7,LTER 3,11.3
2005,LTER 3 Fringing Reef Coral Transect Pole 1-2 Quadrat 8,LTER 3,4.800000000000001
2005,LTER 3 Fringing Reef Coral Transect Pole 2-3 Quadrat 1,LTER 3,11.3
2005,LTER 3 Fringing Reef Coral Transect Pole 2-3 Quadrat 2,LTER 3,1.2
2005,LTER 3 Fringing Reef Coral Transect Pole 2-3 Quadrat 3,LTER 3,0.6
2005,LTER 3 Fringing Reef Coral Transect Pole 2-3 Quadrat 4,LTER 3,1.3
2005,LTER 3 Fringing Reef Coral Transect Pole 2-3 Quadrat 6,LTER 3,5.0
2005,LTER 3 Fringing Reef Coral Transect Pole 2-3 Quadrat 8,LTER 3,10.35
2005,LTER 3 Fringing Reef Coral Transect Pole 3-4 Quadrat 1,LTER 3,18.2
2005,LTER 3 Fringing Reef Coral Transect Pole 3-4 Quadrat 2,LTER 3,11.3
2005,LTER 3 Fringing Reef Coral Transect Pole 3-4 Quadrat 3,LTER 3,1.2
2005,LTER 3 Fringing Reef Coral Transect Pole 3-4 Quadrat 5,LTER 3,1.8
2005,LTER 3 Fringing Reef Coral Transect Pole 3-4 Quadrat 8,LTER 3,3.8
2005,LTER 3 Fringing Reef Coral Transect Pole 4-5 Quadrat 1,LTER 3,3.4
2005,LTER 3 Fringing Reef Coral Transect Pole 4-5 Quadrat 2,LTER 3,5.0
2005,LTER 3 Fringing Reef Coral Transect Pole 4-5 Quadrat 3,LTER 3,2.5
2005,LTER 3 Fringing Reef Coral Transect Pole 4-5 Quadrat 4,LTER 3,0.6
2005,LTER 3 Fringing Reef Coral Transect Pole 4-5 Quadrat 6,LTER 3,9.333333333333334
2005,LTER 3 Fringing Reef Coral Transect Pole 4-5 Quadrat 7,LTER 3,50.6
2005,LTER 3 Fringing Reef Coral Transect Pole 4-5 Quadrat 8,LTER 3,18.35
2005,LTER 3 Fringing Reef Coral Transect Pole 5-6 Quadrat 1,LTER 3,7.1
2005,LTER 3 Fringing Reef Coral Transect Pole 5-6 Quadrat 2,LTER 3,12.0
2005,LTER 3 Fringing Reef Coral Transect Pole 5-6 Quadrat 6,LTER 3,5.4
2005,LTER 3 Fringing Reef Coral Transect Pole 5-6 Quadrat 7,LTER 3,20.1
2005,LTER 3 Fringing Reef Coral Transect Pole 5-6 Quadrat 8,LTER 3,1.7999999999999998
2005,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,LTER 3,7.933333333333334
2005,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,LTER 3,9.833333333333334
2005,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 3,9.5
2005,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,LTER 3,6.233333333333333
2005,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,LTER 3,5.9
2005,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,LTER 3,10.233333333333334
2005,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,LTER 3,22.45
2005,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,LTER 3,8.525
2005,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,LTER 3,6.800000000000001
2005,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,LTER 3,11.6
2005,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,LTER 3,8.200000000000001
2005,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,LTER 3,9.1
2005,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 3,18.366666666666667
2005,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,LTER 3,15.5
2005,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,LTER 3,14.100000000000001
2005,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,LTER 3,20.7
2005,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 3,15.200000000000001
2005,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 3,12.533333333333331
2005,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,LTER 3,5.775
2005,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,LTER 3,11.266666666666666
2005,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 3,17.7
2005,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 7,LTER 3,13.9
2005,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 8,LTER 3,6.766666666666666
2005,LTER 3 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,LTER 3,17.45
2005,LTER 3 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,LTER 3,40.7
2005,LTER 3 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,LTER 3,28.900000000000002
2005,LTER 3 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,LTER 3,12.5
